loop_tag,priority,confidence,labels,interpretation,main_evidence,recommended_checks,caveats
FIC11,high,high,persistent_oscillation; very_regular; cascade_slave; slightly_attenuated_valve,"The loop exhibits persistent and very regular oscillations consistent with a control valve issue, despite being in cascade mode. The valve response is slightly attenuated, which may contribute to the observed behavior.",Oscillation is very regular (oi_reg_category: very_regular) and persistent across all windows (7/7).; Valve response is classified as slightly attenuated (tv_mv_op_category: slightly_attenuated) despite being in cascade mode.; Tracking performance remains good (iae_category: good) with negligible bias (bias_category: negligible).,"Verify if the master controller in the cascade is introducing oscillations upstream.; Inspect the control valve for stiction, hysteresis, or improper tuning of the positioner.; Check for valve saturation or mechanical issues limiting its response.; Review the positioner tuning and ensure it is not introducing additional dynamics.; Confirm the physical valve limits and compare with observed positioner behavior.","Cascade mode complicates root-cause analysis, as oscillations may originate upstream. Physical valve limits and controller mode history are not available for validation."
LIC42,high,high,persistent oscillation; growing bias; valve not position,"The loop shows consistent, very regular oscillations with high spectral power fraction, while the controller exhibits a growing bias trend. The valve positioner metrics indicate the valve is not tracking the controller output, suggesting a potential actuator or positioner issue rather than a process disturbance.","Oscillation is very regular (oi_reg_category='very_regular') with high spectral power fraction (67.6%); Bias is significant and growing in magnitude (bias_category='significant', bias_direction='growing'); Valve positioner is not tracking controller output (tv_mv_op_category='mv_not_valve_position'); All 7 windows flagged for oscillation and tracking issues (persistence='persistent')",Inspect valve positioner calibration and response characteristics; Verify valve mechanical integrity and stroking behavior; Check for stiction or hysteresis in the control valve; Review controller tuning for potential detuning effects; Examine process variable and setpoint trends for additional context,"Physical valve limits and process topology are unknown, which may affect interpretation. Controller mode changes could influence bias trends."
FIC24,medium,medium,oscillation; cascade_slave; positioner_ok,"The loop shows consistent moderate oscillations with very regular behavior, but the valve positioner activity appears normal. The cascade slave configuration suggests the oscillation source may originate upstream rather than in this loop.","Oscillation is classified as 'moderate' with 'very regular' zero-crossing behavior (oi_reg_category='very_regular'); Tracking performance is 'good' with negligible bias (iae_category='good', bias_category='negligible'); Valve positioner metrics are within normal range (tv_mv_op_category='normal', op_mv_offset_category='small'); Oscillation persists in 5 of 7 windows (frequent persistence)",Verify if the oscillation persists when the cascade master is in manual mode to isolate the source; Inspect upstream loops (master controller and final elements) for similar oscillation patterns; Check valve stiction or hysteresis using step tests while bypassing the positioner; Review controller tuning for the cascade slave loop to ensure it is not amplifying upstream disturbances; Examine process variable trends for correlation with known disturbances or load changes,"Cascade configuration complicates root cause analysis, and valve physical limits are unknown. Manual mode periods cannot be excluded due to missing controller mode signals."
FIC12,medium,medium,oscillation; positioner offset; cascade slave,"The loop shows persistent regular oscillations with a positioner exhibiting a large offset, while tracking performance remains good. The cascade slave configuration suggests the oscillation source may originate upstream rather than within this loop.","Oscillation indicators are consistent with 'regular' behavior in 3 of 7 windows (oi_reg_category='regular').; Positioner offset is classified as 'large_offset' (op_mv_offset_category='large_offset').; Tracking performance is 'good' (iae_category='good') with negligible bias (bias_category='negligible').; Valve activity is classified as 'normal' (tv_mv_op_category='normal').; The loop operates as a cascade slave (cascade_slave=true), indicating potential upstream oscillation sources.",Verify the positioner calibration and zero/span settings to address the large offset.; Inspect the upstream master controller (if available) for oscillations or tuning issues.; Check for multi-loop interactions by reviewing process topology and controller modes.; Assess valve physical limits and stiction to confirm positioner metrics are valid.; Review historical data for manual mode periods that may have contributed to the offset.,"The absence of process topology and controller mode data limits the ability to confirm the oscillation source. Physical valve limits are unknown, which may affect the validity of positioner metrics."
FIC28,medium,medium,oscillation; attenuated valve response; cascade slave,"The loop shows consistent regular oscillations with low zero-crossing rate, consistent with slow, persistent oscillations. Valve response is classified as attenuated, which may contribute to the observed behavior. The cascade slave configuration suggests the oscillation source may originate upstream.",Oscillation regularity classified as 'regular' in 6 of 7 windows (oi_reg_category); Zero-crossing rate classified as 'low' (oi_zc_category); Valve response classified as 'attenuated_response' (tv_mv_op_category); Oscillation persistence is 'persistent' across all windows (context); Loop operates as a cascade slave (context),Verify upstream controller tuning and oscillation source in the master loop; Inspect valve stem travel and positioner performance for mechanical issues; Check for external disturbances or load changes affecting the cascade loop; Review controller mode history to exclude manual operation periods; Assess process variable and setpoint trends for additional oscillation characteristics,Cascade configuration limits root-cause attribution to this loop alone. Valve positioner metrics are screening-level and should be validated with physical inspection.
FIC29,medium,medium,tracking error; valve normal; intermittent oscillation,"The loop exhibits moderate tracking error with stable bias, while valve activity and positioner metrics remain within normal ranges. Oscillation indicators are intermittent and not strongly supported by regularity or zero-crossing evidence.","Tracking error is classified as moderate (iae_category: moderate) despite stable bias (bias_category: minor, bias_direction: stable); Valve activity is normal (tv_mv_op_category: normal) with small positioner offset (op_mv_offset_category: small); Oscillation indicators are inconsistent: zero-crossing rate is low (oi_zc_category: low) but oscillation is only intermittent (persistence: intermittent) with 2 of 7 windows flagged","Verify controller tuning for setpoint tracking performance, particularly integral action; Inspect valve stem travel and hysteresis to confirm positioner metrics align with physical behavior; Check for external disturbances or load changes that may correlate with the intermittent oscillation flagging","Positioner metrics are screening only due to lack of physical valve limits, and oscillation evidence is inconsistent across windows. Manual mode periods cannot be excluded."
FIC30,medium,medium,oscillation; cascade_slave; valve_not_position,"The loop shows consistent regular oscillations with very regular regulation, but the valve activity does not align with valve position metrics. The cascade slave configuration suggests the oscillation source may originate upstream rather than in this loop.","Oscillation is very regular (oi_reg_category: very_regular) with low zero-crossing rate (oi_zc_category: low), indicating sustained periodic behavior.; Valve activity metrics (tv_mv_op_category: mv_not_valve_position) do not indicate valve position issues, suggesting the oscillation is not valve-induced.; Tracking performance is moderate (iae_category: moderate) with negligible bias (bias_category: negligible), indicating the controller is responding to the oscillation rather than causing it.",Verify if the oscillation persists when the cascade master loop is in manual mode to isolate the source.; Inspect the upstream master controller (if accessible) for oscillation or tuning issues.; Check valve positioner health and mechanical limits to rule out non-linearities contributing to the observed behavior.; Review controller tuning for the slave loop to ensure it is not amplifying the upstream oscillation.,"The cascade slave configuration complicates root-cause analysis, as the oscillation may originate upstream. Valve positioner metrics are screening-level and may not capture all mechanical issues."
FIC38,medium,medium,valve response attenuation; tracking bias; regular oscillation,"The loop shows consistent valve response attenuation with a regular oscillation pattern, while also exhibiting a significant tracking bias. The attenuated valve response is persistent across all windows, suggesting a potential issue with the final control element.","Valve response is classified as 'attenuated_response' in all windows; Oscillation is classified as 'regular' with a mean regularity of 3.75; Tracking bias is classified as 'significant' with a maximum absolute value of 0.104; Zero-crossing rate is 'low', consistent with slow oscillations",Inspect valve stem travel and positioner calibration for mechanical or tuning issues; Verify controller tuning parameters for excessive integral action that could cause bias; Check for process disturbances or load changes that may be contributing to the oscillation; Examine valve travel limits and stiction characteristics; Review controller mode history to rule out manual operation periods,"Physical valve limits and process topology are unknown, limiting definitive root cause analysis. Controller mode history is unavailable, so manual operation periods cannot be excluded."
PIC47,medium,medium,oscillation; positioner offset; tracking,"The loop shows persistent regular oscillations consistent with a positioner-related issue. Tracking performance is moderate with minor bias, but the large positioner offset suggests valve behavior may be contributing to the observed dynamics.","Oscillation indicators are persistently flagged with regular oscillation category (oi_reg_category=""regular""); Positioner exhibits large offset (op_mv_offset_category=""large_offset"") despite normal valve travel ratio (tv_mv_op_category=""normal""); Tracking performance shows moderate IAE (iae_category=""moderate"") with stable minor bias (bias_category=""minor"")",Inspect positioner calibration and zero/span settings for the valve in service; Verify valve stiction or hysteresis effects through step tests or bump tests; Check tuning of the positioner PID parameters for aggressive response; Review controller output signal for signs of positioner saturation or rate limiting; Examine process variable trends for consistent oscillation pattern across multiple windows,"The diagnosis relies on positioner metrics which are screening-level indicators. Physical valve limits and process topology are unknown, which may affect interpretation of valve behavior."
TIC52,medium,medium,oscillation; regular; tracking moderate; valve normal,"The loop shows consistent regular oscillations with moderate tracking performance. Valve activity appears normal, suggesting the oscillation is not driven by valve issues. The oscillation is not persistent across all windows but is frequent enough to warrant attention.","Oscillation is classified as 'regular' with a mean zero-crossing rate of 1.97 and spectral power fraction of 55.3%.; Tracking performance is 'moderate' with normalized IAE of 0.705 and negligible bias.; Valve activity is 'normal' with a positioner offset classified as 'small' and no abnormal valve response.; Oscillation is flagged in 4 out of 7 windows, indicating frequent but not persistent occurrence.","Verify controller tuning for potential oscillation sources, such as integral windup or aggressive tuning.; Check for external disturbances or interactions with other loops that may be causing the oscillation.; Review historical data for periods of manual operation or process changes that correlate with the oscillation.; Inspect valve and positioner for mechanical issues or stiction that could contribute to the oscillation.; Evaluate the impact of the oscillation on process performance and product quality.","The oscillation is not persistent across all windows, and physical valve limits are not available for validation. Multi-loop interactions cannot be confirmed due to lack of process topology data."
